Seed,Total Nodes,Neighbor %,Bizantine %,Protocol,Time,Infected Nodes,Total Messages
42,50,0.15,0.3,AntiEntropy,6.018,100.0,334
70,50,0.15,0.3,AntiEntropy,6.019,100.0,272
420,50,0.15,0.3,AntiEntropy,6.018,100.0,345
42,50,0.15,0.4,AntiEntropy,5.517,100.0,270
70,50,0.15,0.4,AntiEntropy,8.024,100.0,512
420,50,0.15,0.4,AntiEntropy,5.016,100.0,279
42,100,0.05,0.1,AntiEntropy,8.026,100.0,950
70,100,0.05,0.1,AntiEntropy,8.527,100.0,1000
420,100,0.05,0.1,AntiEntropy,8.529,100.0,899
42,100,0.05,0.2,AntiEntropy,7.023,100.0,709
70,100,0.05,0.2,AntiEntropy,8.027,100.0,922
420,100,0.05,0.2,AntiEntropy,10.535,100.0,1346
42,100,0.05,0.3,AntiEntropy,8.528,100.0,1035
70,100,0.05,0.3,AntiEntropy,9.029,100.0,1175
420,100,0.05,0.3,AntiEntropy,7.023,100.0,760
42,100,0.05,0.4,AntiEntropy,6.02,100.0,659
70,100,0.05,0.4,AntiEntropy,9.531,100.0,1160
420,100,0.05,0.4,AntiEntropy,6.521,100.0,676
42,100,0.1,0.1,AntiEntropy,8.528,100.0,1083
70,100,0.1,0.1,AntiEntropy,7.524,100.0,941
420,100,0.1,0.1,AntiEntropy,7.023,100.0,750
42,100,0.1,0.2,AntiEntropy,6.521,100.0,773
70,100,0.1,0.2,AntiEntropy,11.036,100.0,1615
420,100,0.1,0.2,AntiEntropy,6.019,100.0,633
42,100,0.1,0.3,AntiEntropy,8.026,100.0,1084
70,100,0.1,0.3,AntiEntropy,10.534,100.0,1527
420,100,0.1,0.3,AntiEntropy,8.528,100.0,1138
42,100,0.1,0.4,AntiEntropy,5.519,100.0,555
70,100,0.1,0.4,AntiEntropy,6.522,100.0,674
420,100,0.1,0.4,AntiEntropy,5.017,100.0,555
42,100,0.15,0.1,AntiEntropy,7.524,100.0,923
70,100,0.15,0.1,AntiEntropy,5.016,100.0,529
420,100,0.15,0.1,AntiEntropy,6.019,100.0,685
42,100,0.15,0.2,AntiEntropy,6.02,100.0,650
70,100,0.15,0.2,AntiEntropy,5.017,100.0,521
420,100,0.15,0.2,AntiEntropy,5.518,100.0,597
42,100,0.15,0.3,AntiEntropy,5.017,100.0,447
70,100,0.15,0.3,AntiEntropy,5.017,100.0,525
420,100,0.15,0.3,AntiEntropy,5.519,100.0,549
42,100,0.15,0.4,AntiEntropy,5.017,100.0,540
70,100,0.15,0.4,AntiEntropy,5.518,100.0,509
420,100,0.15,0.4,AntiEntropy,7.023,100.0,900
42,150,0.05,0.1,AntiEntropy,7.526,100.0,1380
70,150,0.05,0.1,AntiEntropy,9.533,100.0,1796
420,150,0.05,0.1,AntiEntropy,7.024,100.0,1116
42,150,0.05,0.2,AntiEntropy,8.027,100.0,1323
70,150,0.05,0.2,AntiEntropy,7.527,100.0,1330
420,150,0.05,0.2,AntiEntropy,11.541,100.0,2397
42,150,0.05,0.3,AntiEntropy,7.023,100.0,1033
70,150,0.05,0.3,AntiEntropy,7.024,100.0,1092
420,150,0.05,0.3,AntiEntropy,6.523,100.0,1052
42,150,0.05,0.4,AntiEntropy,7.526,100.0,1268
70,150,0.05,0.4,AntiEntropy,8.028,100.0,1303
420,150,0.05,0.4,AntiEntropy,7.024,100.0,1207
42,150,0.1,0.1,AntiEntropy,6.522,100.0,1120
70,150,0.1,0.1,AntiEntropy,6.021,100.0,879
420,150,0.1,0.1,AntiEntropy,6.021,100.0,1099
42,150,0.1,0.2,AntiEntropy,6.021,100.0,952
70,150,0.1,0.2,AntiEntropy,7.526,100.0,1295
420,150,0.1,0.2,AntiEntropy,6.522,100.0,1162
42,150,0.1,0.3,AntiEntropy,5.519,100.0,834
70,150,0.1,0.3,AntiEntropy,7.525,100.0,1422
420,150,0.1,0.3,AntiEntropy,6.522,100.0,1078
42,150,0.1,0.4,AntiEntropy,5.518,100.0,835
70,150,0.1,0.4,AntiEntropy,7.024,100.0,1298
420,150,0.1,0.4,AntiEntropy,8.027,100.0,1527
42,150,0.15,0.1,AntiEntropy,7.024,100.0,1230
70,150,0.15,0.1,AntiEntropy,5.52,100.0,774
420,150,0.15,0.1,AntiEntropy,7.025,100.0,1433
42,150,0.15,0.2,AntiEntropy,10.035,100.0,2147
70,150,0.15,0.2,AntiEntropy,6.523,100.0,1059
420,150,0.15,0.2,AntiEntropy,5.018,100.0,798
42,150,0.15,0.3,AntiEntropy,5.519,100.0,919
70,150,0.15,0.3,AntiEntropy,5.518,100.0,804
420,150,0.15,0.3,AntiEntropy,5.018,100.0,751
42,150,0.15,0.4,AntiEntropy,6.02,100.0,967
70,150,0.15,0.4,AntiEntropy,7.023,100.0,1284
420,150,0.15,0.4,AntiEntropy,6.522,100.0,1183
42,50,0.05,0.1,AntiEntropy,9.529,100.0,490
70,50,0.05,0.1,AntiEntropy,13.04,100.0,672
420,50,0.05,0.1,AntiEntropy,9.028,100.0,628
42,50,0.05,0.2,AntiEntropy,13.04,100.0,840
70,50,0.05,0.2,AntiEntropy,9.028,100.0,468
420,50,0.05,0.2,AntiEntropy,8.526,100.0,469
42,50,0.05,0.3,AntiEntropy,10.03,100.0,642
